ción	2426	0.71
mien	1477	0.43
llar	429	0.13
char	345	0.10
tras	288	0.08
sión	244	0.07
guar	180	0.05
cien	157	0.05
cial	151	0.04
ciar	147	0.04
rrar	144	0.04
tran	142	0.04
llón	113	0.03
chan	112	0.03
blan	111	0.03
trar	108	0.03
brar	104	0.03
quis	101	0.03
quin	97	0.03
cris	96	0.03
rran	95	0.03
llas	94	0.03
cuen	94	0.03
cons	93	0.03
pren	90	0.03
plan	90	0.03
chin	87	0.03
cuar	85	0.03
chis	84	0.02
rras	82	0.02
dien	79	0.02
fran	75	0.02
rrón	74	0.02
rria	71	0.02

trans	144	0.04
